"Ticker
","Company Name
","Exchange
","Sector L2
","20. Attributable to parent company
Year: 2019
Unit: Billions VND
","20. Attributable to parent company
Year: 2020
Unit: Billions VND
","20. Attributable to parent company
Year: 2021
Unit: Billions VND
","20. Attributable to parent company
Year: 2022
Unit: Billions VND
","20. Attributable to parent company
Year: 2023
Unit: Billions VND
","3. Net sales
Year: 2019
Unit: Billions VND
","3. Net sales
Year: 2020
Unit: Billions VND
","3. Net sales
Year: 2021
Unit: Billions VND
","3. Net sales
Year: 2022
Unit: Billions VND
","3. Net sales
Year: 2023
Unit: Billions VND
","5. Gross Profit
Year: 2019
Unit: Billions VND
","5. Gross Profit
Year: 2020
Unit: Billions VND
","5. Gross Profit
Year: 2021
Unit: Billions VND
","5. Gross Profit
Year: 2022
Unit: Billions VND
","5. Gross Profit
Year: 2023
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2019
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2020
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2021
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2022
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2023
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2019
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2020
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2021
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2022
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2023
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2019
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2020
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2021
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2022
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2023
Unit: Billions VND
","1.13. Minority interests
Year: 2019
Unit: Billions VND
","1.13. Minority interests
Year: 2020
Unit: Billions VND
","1.13. Minority interests
Year: 2021
Unit: Billions VND
","1.13. Minority interests
Year: 2022
Unit: Billions VND
","1.13. Minority interests
Year: 2023
Unit: Billions VND
"
EVF,EVN Finance,HOSE,Financial Services,229.45,228.41,330.57,365.79,328.38,,,,,,,,,,,,,,,,229.45,228.41,330.57,365.79,328.38,3450.55,3665.88,3984.17,4335.08,8456.22,2.33,2.33,2.33,2.33,2.33
VCS,VICOSTONE,HNX,Construction & Materials,1410.11,1428.42,1772.06,1148.7,846.38,5562.76,5659.59,7070.13,5660.27,4353.86,1912.11,1963.83,2462.5,1742.97,1220.89,1653.98,1679.03,2115.61,1382.21,1006.89,1410.11,1428.42,1772.06,1148.7,846.38,3448.69,3857.82,4874.2,4868.74,4985.82,0.0,0.0,0.0,0.0,0.0
BAB,Bac A Commercial Bank,HNX,Banks,749.46,587.79,726.34,832.52,854.37,,,,,,,,,,,,,,,,749.46,587.79,726.34,832.52,854.37,7814.98,8363.58,9051.14,9800.43,10868.26,0.0,0.0,0.0,0.0,0.0
PVT,PVTrans,HOSE,Industrial Goods & Services,689.61,669.48,659.76,857.34,972.44,7758.37,7382.69,7460.23,9047.36,9555.98,1190.95,1118.22,1237.96,1655.03,1838.5,989.99,981.87,998.27,1169.36,1346.18,820.68,830.42,834.51,1155.85,1221.5,5690.97,6278.89,6963.2,8014.06,9030.39,0.0,0.0,0.0,0.0,0.0
DGW,Digiworld Corporation,HOSE,Retail,164.46,267.17,654.37,683.78,354.39,8488.07,12535.64,20922.81,22028.13,18817.48,548.13,802.78,1507.99,1663.1,1559.5,209.92,331.96,821.39,868.06,469.34,163.18,267.34,654.9,683.6,362.59,924.85,1158.59,1781.28,2423.28,2626.85,0.0,0.0,0.0,0.0,0.0
HDG,HA DO Construction,HOSE,Real Estate,931.69,979.14,1096.5,1095.62,665.08,4342.52,4998.58,3777.44,3581.19,2889.38,1827.56,2076.44,2320.09,2212.37,1723.03,1397.24,1545.28,1650.87,1614.65,961.34,1116.98,1253.86,1343.67,1361.9,866.29,3280.37,3977.42,5390.33,6548.01,7228.75,0.0,0.0,0.0,0.0,0.0
VTP,Viettel Post,HOSE,Industrial Goods & Services,380.14,383.31,295.85,255.76,379.88,7811.59,17234.28,21452.03,21628.81,19587.52,775.28,698.59,601.11,647.42,880.61,486.51,473.79,364.91,322.86,482.05,380.14,383.31,295.85,255.76,379.88,967.96,1208.6,1325.5,1388.93,1581.22,0.0,0.0,0.0,0.0,0.0
CEO,CEO Group,HNX,Real Estate,447.91,-67.16,93.15,278.91,150.76,4550.05,1323.83,901.81,2549.0,1393.47,1439.42,357.83,116.95,912.26,433.04,847.17,3.88,102.79,464.36,195.33,607.81,-103.3,82.14,310.62,121.2,3665.75,3456.35,3534.35,3719.15,6246.06,0.0,0.0,0.0,0.0,0.0
BWE,Binh Duong Water Environment,HOSE,Utilities,476.27,535.38,748.56,742.84,674.46,2545.68,3025.34,3118.87,3483.75,3525.94,1034.96,1236.08,1314.78,1421.07,1563.62,550.53,591.16,883.63,815.62,754.81,476.24,535.43,755.14,746.56,681.98,2199.76,3409.36,3925.34,4537.84,4963.76,102.23,97.82,97.82,97.82,97.82
DTK,Vinacomin Power,HNX,Utilities,561.5,510.03,908.45,778.45,540.9,12584.36,12768.78,13059.31,10769.9,11830.03,1751.16,1747.29,1487.61,1331.25,1234.68,583.8,708.88,888.2,863.13,613.37,562.96,586.07,907.27,778.73,540.01,7495.49,7367.29,7783.37,8121.36,8151.63,0.0,0.0,0.0,0.0,0.0
PC1,PC1 Group,HOSE,Construction & Materials,357.79,512.81,695.02,459.83,139.97,5845.02,6678.6,9828.46,8357.6,7775.24,818.71,1161.65,1155.53,1594.51,1581.1,426.9,634.84,904.65,646.82,406.86,376.46,544.08,764.29,536.93,303.03,3694.78,4769.53,6280.84,7172.75,7270.4,0.0,0.0,0.0,0.0,0.0
BMP,Binh Minh Plastics,HOSE,Construction & Materials,422.77,522.59,214.38,694.27,1041.01,4337.34,4685.64,4552.76,5808.34,5156.98,988.0,1246.98,703.92,1607.66,2116.42,528.6,654.25,271.81,868.08,1304.06,422.77,522.59,214.38,694.27,1041.01,2469.28,2471.52,2293.47,2621.32,2689.73,0.0,0.0,0.0,0.0,0.0
